2026-05-10 19:57:10 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.14, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.564, depth=0.743, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:10 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:10 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:10 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.67, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.177, depth=0.561, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:10 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:10 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:10 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4705936.96, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.337, depth=0.621, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:11 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:11 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:11 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:11 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.14, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.525, depth=0.736, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:11 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:11 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:11 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.67, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.177, depth=0.561, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:11 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:11 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:11 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4705936.96, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.246, depth=0.602, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:12 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:12 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:12 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:12 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.15, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.527, depth=0.751, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:12 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:12 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:12 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.67, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.180, depth=0.562, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:12 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:12 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:12 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4705936.96, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.354, depth=0.630, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:13 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:13 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:13 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:13 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.15, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.528, depth=0.748, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:13 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:13 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:13 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.67, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.186, depth=0.526, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:13 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:13 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:13 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4705936.96, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.495, depth=0.762, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:14 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:14 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:14 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:14 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.15, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.560, depth=0.746, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:14 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:14 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:14 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.67, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.183, depth=0.525, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:14 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:14 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:14 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4706021.10, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.416, depth=0.694, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:15 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:15 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:15 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:15 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.15, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.543, depth=0.746, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:15 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:15 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:15 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.68, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.182, depth=0.525, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:15 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:15 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:15 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4706043.08, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.409, depth=0.691, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:16 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:16 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:16 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:16 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.15, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.546, depth=0.747, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:16 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:16 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:16 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.68, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.127, depth=0.525, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:16 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:16 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:16 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4706043.08, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.408, depth=0.686, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:17 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:17 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:17 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:17 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.14, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.609, depth=0.753, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:17 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:17 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:17 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.68, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.127, depth=0.525, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:17 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:17 | INFO     | core.engine | Processing market event for SOL
2026-05-10 19:57:17 | INFO     | core.engine | MarketEvent SOL: price=96.50, funding=0.000028, predicted=N/A, oi=4706044.64, agg_funding=0.000020, agg_oi=1,153,739,351, exchanges=3, spread=0.0010%, oir=0.327, depth=0.646, imbalance=-0.005197732596893722, adx=N/A
2026-05-10 19:57:18 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 19:57:18 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81209.50
2026-05-10 19:57:18 | INFO     | core.engine | Processing market event for BTC
2026-05-10 19:57:18 | INFO     | core.engine | MarketEvent BTC: price=81209.50, funding=-0.000014, predicted=N/A, oi=29546.14, agg_funding=0.000024, agg_oi=8,161,644,711, exchanges=3, spread=0.0012%, oir=0.549, depth=0.727, imbalance=-0.6865943083988832, adx=N/A
2026-05-10 19:57:18 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2357.45
2026-05-10 19:57:18 | INFO     | core.engine | Processing market event for ETH
2026-05-10 19:57:18 | INFO     | core.engine | MarketEvent ETH: price=2357.45, funding=0.000013, predicted=N/A, oi=531373.68, agg_funding=0.000066, agg_oi=5,009,593,839, exchanges=3, spread=0.0042%, oir=0.127, depth=0.525, imbalance=-0.8066058308810584, adx=N/A
2026-05-10 19:57:18 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.50
2026-05-10 19:57:18 | INFO     | core.engine | Processing market event for SOL
