strategy,param_set,window,elapsed_s,n_trades,wins,losses,win_rate,avg_win_usd,avg_loss_usd,rr_realized,profit_factor,sharpe,max_dd_pct,total_return_pct,total_pnl_usd,mc_pf_median,mc_pf_p05,mc_pf_p95,mc_sharpe_median,mc_sharpe_p05,mc_max_dd_p95,mc_pnl_median,mc_pnl_p05,mc_prob_profit_pct
VB,sl_to_be_0.5r,W1_0518_0531,50.4,15,5,10,33.3,2.683,-3.782,0.71,0.355,-9.337,0.03,-0.03,-24.4,0.3484269791547419,0.036472511647937085,1.4813582630312325,-5.488355327859317,-14.01059616115559,0.06,-23.5444,-53.4609,11.0
VB,sl_to_be_0.5r,W2_0601_0614,159.0,23,11,12,47.8,10.984,-10.077,1.09,0.999,-0.159,0.08,-0.0,-0.1,0.9954313810226597,0.32406651831418853,2.473045337755316,-0.02407967634723049,-6.289475721273696,0.13,-0.5489999999999982,-104.4945,49.5
VB,sl_to_be_0.5r,W3_0615_0628,203.3,24,15,9,62.5,10.568,-4.569,2.313,3.855,8.095,0.02,0.11,117.4,3.752176505664878,1.5283512992693997,10.112748696156075,7.162842269994553,2.360153348662506,0.03,112.95079999999999,32.6823,99.4
VB,sl_to_be_1r_plus_tp_6atr,W1_0518_0531,49.0,15,7,8,46.7,15.319,-6.116,2.505,2.192,5.14,0.03,0.06,58.31,2.2053903279084275,0.505304004936877,6.848890054581551,4.089167263576969,-3.3552757162965388,0.06,56.057100000000005,-32.598299999999995,85.6
VB,sl_to_be_1r_plus_tp_6atr,W2_0601_0614,159.2,23,7,16,30.4,21.318,-11.699,1.822,0.797,-1.958,0.12,-0.04,-37.96,0.7698148881774113,0.23886925338277104,1.8071585641550236,-1.5726655053078966,-8.97887008514497,0.2,-42.2313,-183.3976,32.3
VB,sl_to_be_1r_plus_tp_6atr,W3_0615_0628,204.1,24,13,11,54.2,19.894,-6.582,3.023,3.572,9.63,0.02,0.18,186.23,3.498327729618422,1.7020600043877905,7.416997096447431,7.611757741197365,3.195208652231762,0.05,179.1057,66.402,99.9
VWAP,exit_z_0.3,W1_0518_0531,28.0,6,5,1,83.3,4.455,-1.353,3.293,16.463,6.776,0.01,0.02,20.92,17.020990391722098,1.556910569105691,99.0,9.748565095529763,2.4940101868186324,0.0,20.5103,0.8195,96.7
VWAP,exit_z_0.3,W2_0601_0614,118.8,5,5,0,100.0,6.013,0.0,0.0,0.0,8.391,0.0,0.03,30.06,99.0,99.0,99.0,53.409556409374076,38.31541945630569,0.0,30.063299999999998,23.3699,100.0
VWAP,exit_z_0.3,W3_0615_0628,164.2,15,7,8,46.7,12.856,-193.901,0.066,0.058,-0.096,0.08,-1.46,-1461.21,0.06749076914022638,0.015350979368877896,2.2822691804407143,-4.093410092204432,-7.637951897072949,4.37,-1433.1198,-4337.2593,20.0
VWAP,exit_z_0.1,W1_0518_0531,27.6,6,5,1,83.3,4.76,-1.353,3.518,17.59,6.844,0.01,0.02,22.45,17.893865484109387,1.556910569105691,99.0,9.676652325658011,2.4940101868186324,0.0,22.036,0.8195,96.7
VWAP,exit_z_0.1,W2_0601_0614,118.2,5,5,0,100.0,6.013,0.0,0.0,0.0,8.391,0.0,0.03,30.06,99.0,99.0,99.0,53.409556409374076,38.31541945630569,0.0,30.063299999999998,23.3699,100.0
VWAP,exit_z_0.1,W3_0615_0628,169.8,15,7,8,46.7,12.949,-193.902,0.067,0.058,-0.046,0.08,-1.46,-1460.57,0.0680295274486349,0.015413414634024961,2.29313509666864,-4.091407015171972,-7.637583970950503,4.37,-1432.3443,-4335.9802,20.2
VWAP,exit_z_0.2,W1_0518_0531,34.6,6,5,1,83.3,4.76,-1.353,3.518,17.59,6.844,0.01,0.02,22.45,17.893865484109387,1.556910569105691,99.0,9.676652325658011,2.4940101868186324,0.0,22.036,0.8195,96.7
VWAP,exit_z_0.2,W2_0601_0614,175.6,5,5,0,100.0,6.013,0.0,0.0,0.0,8.391,0.0,0.03,30.06,99.0,99.0,99.0,53.409556409374076,38.31541945630569,0.0,30.063299999999998,23.3699,100.0
VWAP,exit_z_0.2,W3_0615_0628,196.8,15,7,8,46.7,12.856,-193.901,0.066,0.058,-0.096,0.08,-1.46,-1461.21,0.06749076914022638,0.015350979368877896,2.2822691804407143,-4.093410092204432,-7.637951897072949,4.37,-1433.1198,-4337.2593,20.0
VWAP,exit_z_0.5,W1_0518_0531,29.1,6,5,1,83.3,4.328,-1.353,3.199,15.993,6.743,0.01,0.02,20.29,16.771766444937178,1.556910569105691,99.0,9.807087455474862,2.4940101868186324,0.0,19.8745,0.8195,96.7
VWAP,exit_z_0.5,W2_0601_0614,174.0,5,5,0,100.0,6.529,0.0,0.0,0.0,10.588,0.0,0.03,32.65,99.0,99.0,99.0,46.02046470238831,32.48318501353277,0.0,32.6502,24.3919,100.0
VWAP,exit_z_0.5,W3_0615_0628,224.3,15,7,8,46.7,14.049,-193.917,0.072,0.063,0.525,0.08,-1.45,-1452.99,0.0721470159159909,0.017166717038092614,2.3948798067851613,-4.052644754777089,-7.604028602077387,4.37,-1428.6562000000001,-4333.0898,20.9
VWAP,exit_z_0.0,W1_0518_0531,39.1,6,5,1,83.3,5.491,-1.353,4.058,20.292,8.761,0.01,0.03,26.1,21.123725055432374,1.1713229859571324,99.0,9.31863640590673,0.8954319139247415,0.0,25.665,0.2654,95.7
VWAP,exit_z_0.0,W2_0601_0614,162.6,5,5,0,100.0,6.013,0.0,0.0,0.0,8.391,0.0,0.03,30.06,99.0,99.0,99.0,53.409556409374076,38.31541945630569,0.0,30.063299999999998,23.3699,100.0
VWAP,exit_z_0.0,W3_0615_0628,186.3,14,7,7,50.0,16.103,-221.275,0.073,0.073,1.48,0.07,-1.44,-1436.2,0.08506014478330576,0.020654436750543164,3.3016579220767936,-4.089755398344961,-7.795449412603541,4.34,-1401.6117,-4293.6641,24.1
