strategy,param_set,window,elapsed_s,n_trades,wins,losses,win_rate,avg_win_usd,avg_loss_usd,profit_factor,sharpe,max_dd_pct,total_return_pct,total_pnl_usd,mc_pf_median,mc_pf_p05,mc_pf_p95,mc_sharpe_median,mc_sharpe_p05,mc_max_dd_p95,mc_pnl_median,mc_pnl_p05,mc_prob_profit_pct
VA,vol18_wick60,W3_0615_0628,190.9,19,7,12,36.8,15.36,-8.03,1.116,0.229,0.05,0.0,11.19,1.1204347498682197,0.4223313539419166,2.769852871620557,0.7476607261369044,-5.8412449124492705,0.1,11.026500000000002,-76.2312,56.5
VA,strict_sweep,W1_0518_0531,35.5,18,11,7,61.1,109.17,-9.33,18.39,-1.049,0.04,1.13,1135.54,17.597099612353745,0.5027200905425934,69.5596335636659,3.766164103728331,-4.37297419047932,0.07,1128.0986,-45.7044,81.4
VA,strict_sweep,W2_0601_0614,141.3,25,9,16,36.0,12.44,-77.16,0.091,-2.079,0.08,-1.13,-1122.58,0.10027421342235132,0.022399700634089997,1.4591184780381825,-3.2996069284255913,-6.347415249672101,3.37,-1102.7404000000001,-3334.108,13.4
VA,strict_sweep,W3_0615_0628,191.7,19,7,12,36.8,15.36,-8.03,1.116,0.229,0.05,0.0,11.19,1.1204347498682197,0.4223313539419166,2.769852871620557,0.7476607261369044,-5.8412449124492705,0.1,11.026500000000002,-76.2312,56.5
VBretest,baseline_live,W1_0518_0531,55.2,15,7,8,46.7,16.64,-6.91,2.106,5.27,0.03,0.06,61.17,2.1069742645276985,0.7747804164863413,5.946293795185509,4.866307692910219,-1.703189566846373,0.05,61.0038,-18.167399999999997,89.3
VBretest,baseline_live,W2_0601_0614,176.6,23,7,16,30.4,18.07,-12.62,0.626,-4.035,0.13,-0.08,-75.44,0.6149277832166987,0.227224540361301,1.2820297641388094,-3.3560816627594425,-10.800201152355248,0.22,-76.88459999999999,-204.0442,14.5
VBretest,baseline_live,W3_0615_0628,226.4,24,11,13,45.8,20.99,-6.02,2.948,8.137,0.02,0.15,152.57,2.8859742451480352,1.4111083405458957,6.038702656716542,6.392882588715868,2.2272264013081204,0.05,148.0607,41.540800000000004,99.0
VBretest,retest_4bar,W1_0518_0531,57.0,2,0,2,0.0,0.0,-5.7,0.0,-11.503,0.01,-0.01,-11.41,0.0,0.0,0.0,-221.9857401962835,-414546.2282287187,0.01,-11.408000000000001,-11.9852,0.0
VBretest,retest_4bar,W2_0601_0614,178.8,9,3,6,33.3,17.3,-8.81,0.982,-0.182,0.04,-0.0,-0.96,0.8938118006401526,0.09839250196448424,3.3992353804970756,-0.7338762060564146,-16.39477405470807,0.07,-5.709700000000001,-66.9999,44.7
VBretest,retest_4bar,W3_0615_0628,227.6,3,2,1,66.7,10.61,-6.12,3.468,2.797,0.01,0.01,15.11,3.4683955943393143,0.0016586593456874856,99.0,5.576265462966635,-18.23939590053031,0.01,15.1051,-12.218499999999999,75.6
VBretest,retest_8bar,W1_0518_0531,55.1,2,0,2,0.0,0.0,-5.7,0.0,-11.503,0.01,-0.01,-11.41,0.0,0.0,0.0,-221.9857401962835,-414546.2282287187,0.01,-11.408000000000001,-11.9852,0.0
VBretest,retest_8bar,W2_0601_0614,178.7,9,3,6,33.3,17.3,-8.81,0.982,-0.182,0.04,-0.0,-0.96,0.8938118006401526,0.09839250196448424,3.3992353804970756,-0.7338762060564146,-16.39477405470807,0.07,-5.709700000000001,-66.9999,44.7
VBretest,retest_8bar,W3_0615_0628,225.2,3,2,1,66.7,10.61,-6.12,3.468,2.797,0.01,0.01,15.11,3.4683955943393143,0.0016586593456874856,99.0,5.576265462966635,-18.23939590053031,0.01,15.1051,-12.218499999999999,75.6
VBretest,retest_4bar_no_trailing,W1_0518_0531,56.9,2,0,2,0.0,0.0,-5.7,0.0,-11.503,0.01,-0.01,-11.41,0.0,0.0,0.0,-221.9857401962835,-414546.2282287187,0.01,-11.408000000000001,-11.9852,0.0
VBretest,retest_4bar_no_trailing,W2_0601_0614,177.4,9,3,6,33.3,17.3,-8.81,0.982,-0.182,0.04,-0.0,-0.96,0.8938118006401526,0.09839250196448424,3.3992353804970756,-0.7338762060564146,-16.39477405470807,0.07,-5.709700000000001,-66.9999,44.7
VBretest,retest_4bar_no_trailing,W3_0615_0628,229.7,3,2,1,66.7,10.61,-6.12,3.468,2.797,0.01,0.01,15.11,3.4683955943393143,0.0016586593456874856,99.0,5.576265462966635,-18.23939590053031,0.01,15.1051,-12.218499999999999,75.6
CL,baseline,W1_0518_0531,30.5,35,12,23,34.3,8.51,-4.15,1.071,-1.022,0.04,-0.01,6.75,1.0391756819508875,0.5352756111423913,1.9706734938598087,0.2514022514449829,-4.321550533662699,0.07,3.6354999999999955,-54.908300000000004,53.6
CL,baseline,W2_0601_0614,132.2,65,26,39,40.0,17.91,-9.08,1.316,2.736,0.18,0.09,111.77,1.3149572257481197,0.8385224524070134,2.1034670646405953,1.8822917822364773,-1.202314335904801,0.16,109.55999999999999,-65.53960000000001,83.7
CL,baseline,W3_0615_0628,182.2,65,23,42,35.4,8.37,-6.88,0.667,-7.47,0.14,-0.12,-96.18,0.6593654324319932,0.4017663529826782,1.0464636319844787,-2.934495169255449,-6.5691617709509345,0.21,-98.12029999999999,-200.1701,6.4
CL,thr_3.5,W1_0518_0531,31.8,35,15,20,42.9,7.49,-4.75,1.181,0.35,0.04,0.0,17.24,1.1441985309675666,0.5861304395785814,2.132493280292442,0.9341959171107769,-3.830223281021416,0.07,13.4861,-48.9901,66.7
CL,thr_3.5,W2_0601_0614,132.2,65,29,36,44.6,17.84,-8.93,1.61,5.737,0.15,0.17,195.96,1.6265401118090779,1.0137281917794014,2.624032084045053,3.312086269894156,0.0951703602606576,0.13,201.1215,5.15650000000001,95.6
CL,thr_3.5,W3_0615_0628,183.7,65,24,41,36.9,9.35,-6.88,0.795,-5.079,0.11,-0.08,-57.97,0.7846695010477501,0.4907374937396234,1.2483647283694252,-1.7111059336803178,-5.147550923788739,0.19,-60.7191,-168.2447,20.5
CL,trailing_ema9,W1_0518_0531,32.8,35,13,22,37.1,7.6,-4.3,1.046,-1.345,0.04,-0.01,4.31,1.0079870496458754,0.5352793205648676,1.8968846040500147,0.05555891124560403,-4.370335185449597,0.07,0.7523999999999944,-53.498000000000005,50.8
CL,trailing_ema9,W2_0601_0614,131.1,65,27,38,41.5,17.38,-9.14,1.351,3.064,0.18,0.1,121.98,1.354118265086207,0.8452203013629812,2.1253568590492113,2.1002104504175176,-1.170685959733763,0.15,122.50330000000001,-63.576800000000006,85.1
CL,trailing_ema9,W3_0615_0628,178.9,65,24,41,36.9,8.3,-6.85,0.709,-6.657,0.14,-0.11,-81.9,0.7110582719762816,0.4197116483392668,1.097053557613669,-2.390620583308278,-6.2339446820125834,0.2,-79.9187,-189.9735,10.6
CL,conservative,W1_0518_0531,31.3,35,13,22,37.1,7.62,-4.2,1.071,-1.055,0.04,-0.01,6.56,1.035122818000041,0.5488135003311275,1.9578881948710944,0.23460526853148683,-4.208884932120313,0.07,3.2756999999999965,-51.534600000000005,53.4
CL,conservative,W2_0601_0614,131.4,65,26,39,40.0,17.47,-9.02,1.291,2.457,0.2,0.08,102.43,1.288446653183366,0.8183376540052655,2.050733929966873,1.73486689074787,-1.3451262431733397,0.16,102.2569,-70.98190000000001,80.0
CL,conservative,W3_0615_0628,182.1,65,22,43,33.9,8.56,-7.03,0.623,-8.392,0.14,-0.14,-113.83,0.6288611814653895,0.3562049266957868,1.0119889262143078,-3.203087814072933,-7.2813120511313345,0.24,-111.8087,-226.2796,5.7
